SYMBOL	SERIES	LTP	%CHNG	MKT CAP
(₹ Crores)	VOLUME
(Lakhs)	VALUE
(₹ Crores)
TEJASNET	EQ	873.10	8.73	15,394.71	279.01	2,439.98
MAZDOCK	EQ	2,738.00	5.15	1,10,445.44	46.65	1,255.55
SUNPHARMA	EQ	1,772.00	3.41	4,25,162.16	57.16	1,020.09
IDFCFIRSTB	EQ	60.37	5.56	44,201.19	1,722.19	1,019.88
HAL	EQ	4,315.00	1.90	2,88,576.41	23.69	1,012.07
AUROPHARMA	EQ	1,175.35	1.51	68,264.52	75.02	907.85
DRREDDY	EQ	1,151.80	0.16	96,112.57	63.25	747.14
LUPIN	EQ	2,094.00	4.19	95,604.72	33.30	701.35
POWERGRID	EQ	299.95	4.60	2,78,971.61	234.79	694.93
VTL	EQ	482.40	20.00	13,949.79	146.18	675.38
SBIN	EQ	779.90	0.51	6,96,031.12	79.57	619.38
BEL	EQ	287.50	1.81	2,10,156.14	209.69	599.71
PAYTM	EQ	835.85	2.19	53,306.52	70.74	582.92
AXISBANK	EQ	1,089.90	0.50	3,37,555.14	53.46	581.80
BDL	EQ	1,348.00	4.21	49,412.63	41.45	556.77
CIPLA	EQ	1,500.00	3.28	1,21,142.57	34.89	523.68
INDUSINDBK	EQ	708.60	0.88	55,203.80	69.73	493.31
DIXON	EQ	13,470.00	0.14	81,138.82	3.43	458.50
ADANIPOWER	EQ	528.50	2.91	2,03,839.22	83.31	440.29
CDSL	EQ	1,239.95	1.51	25,914.96	34.26	421.45
GRSE	EQ	1,733.90	0.88	19,862.17	24.33	421.08
ULTRACEMCO	EQ	11,595.10	3.06	3,41,681.40	3.62	416.47
GLAND	EQ	1,554.00	1.23	25,603.15	25.10	406.57
ZYDUSLIFE	EQ	900.00	0.99	90,561.06	41.59	382.37
ANGELONE	EQ	2,469.00	4.87	22,289.82	15.28	369.63
NTPC	EQ	359.25	2.13	3,48,352.73	103.17	369.43
CANBK	EQ	94.25	3.46	85,490.89	385.15	359.34
TITAN	EQ	3,125.00	0.86	2,77,433.18	11.16	349.13
RECLTD	EQ	426.30	0.41	1,12,254.34	74.94	319.59
BANKINDIA	EQ	114.75	2.87	52,241.86	276.06	316.95
ADANIGREEN	EQ	955.30	1.30	1,51,322.62	33.05	314.23
DIVISLAB	EQ	5,764.00	1.73	1,53,016.09	5.38	313.29
UNIONBANK	EQ	131.50	3.29	1,00,381.91	240.55	313.12
BHEL	EQ	219.81	3.40	76,539.23	141.39	304.73
PATANJALI	EQ	1,878.00	2.93	68,016.94	16.10	299.98
HINDUNILVR	EQ	2,241.65	0.17	5,26,696.13	13.10	293.52
RAYMOND	EQ	1,500.10	6.14	9,986.73	19.26	288.84
JIOFIN	EQ	230.64	0.37	1,46,528.86	117.53	270.16
TRIDENT	EQ	27.13	7.45	13,825.33	990.27	268.27
AUBANK	EQ	562.00	4.17	41,842.62	46.74	260.92
TATAPOWER	EQ	386.40	2.15	1,23,467.92	65.81	252.31
PPLPHARMA	EQ	230.00	0.88	30,492.21	107.64	251.54
JSWENERGY	EQ	527.00	0.14	92,107.40	47.38	250.53
PNB	EQ	98.95	1.65	1,13,722.67	253.11	248.80
RPOWER	EQ	43.19	2.08	17,349.30	573.84	248.13
BANKBARODA	EQ	237.50	2.58	1,22,819.85	105.58	247.80
ADANIENT	EQ	2,414.00	1.88	2,78,619.23	10.23	245.97
SUZLON	EQ	57.53	0.17	78,519.51	429.15	245.94
SHRIRAMFIN	EQ	654.10	2.30	1,22,995.91	37.05	241.74
LAURUSLABS	EQ	619.40	1.70	33,401.30	37.44	233.61
SYNGENE	EQ	748.75	3.40	30,139.96	30.75	230.07
KPRMILL	EQ	987.95	2.87	33,769.51	22.49	227.16
PFC	EQ	421.45	1.35	1,39,082.79	53.79	225.65
STYLEBAAZA	EQ	326.57	4.63	2,436.78	66.87	224.21
NATCOPHARM	EQ	839.30	4.06	15,032.69	26.17	219.08
RVNL	EQ	360.15	0.45	75,092.00	60.36	216.66
IRFC	EQ	129.29	1.42	1,68,962.71	163.49	209.75
IREDA	EQ	162.07	0.40	43,560.60	128.48	207.77
HINDPETRO	EQ	363.00	0.23	77,239.96	55.66	202.38
GMRAIRPORT	EQ	82.72	4.92	87,343.85	243.31	199.64
JUBLPHARMA	EQ	970.00	6.63	15,450.27	19.99	193.84
COCHINSHIP	EQ	1,465.00	3.79	38,541.33	13.35	192.28
ADANIENSOL	EQ	884.90	1.96	1,06,301.50	21.66	191.85
HBLENGINE	EQ	530.00	2.69	14,691.33	36.16	190.41
RAMCOCEM	EQ	943.50	2.93	22,294.19	19.82	186.43
PGEL	EQ	940.00	2.55	26,610.80	19.90	185.51
PNBHOUSING	EQ	938.00	2.28	24,380.97	19.46	180.76
LIQUIDCASE	EQ	107.88	0.03	3,965.81	164.76	177.73
DMART	EQ	4,155.00	0.81	2,70,379.59	4.26	176.84
NEULANDLAB	EQ	12,013.00	3.84	15,412.55	1.46	175.81
MUTHOOTFIN	EQ	2,370.15	1.17	95,152.96	7.38	174.30
ZEEL	EQ	110.10	7.81	10,575.32	163.26	171.92
ITCHOTELS	EQ	206.76	0.16	43,030.29	83.19	171.78
