Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
HDFCBANK,EQ,1816.8,1.22,1390255.63,167.7,3059.26
BAJFINANCE,EQ,8739.9,1.69,541767.74,18.5,1611.02
ICICIBANK,EQ,1335,0.41,943300.28,86.49,1151.64
INDIGO,EQ,5099,1.91,197037.28,14.14,720.87
AXISBANK,EQ,1090.1,0.02,337617.08,60.6,660.18
INDUSTOWER,EQ,360.65,0.74,95145.34,161.45,584.83
KSCL,EQ,1445,8.83,7432.95,37.76,540.32
CASTROLIND,EQ,203.1,1.07,20089.08,236.67,485.18
ADANIPOWER,EQ,533.1,0.8,205613.41,89.41,474.59
TATACONSUM,EQ,1088,1.59,107657.44,40.89,444.65
PNBHOUSING,EQ,944.95,0.81,24561.62,42.9,406.4
MAXHEALTH,EQ,1133.25,1.07,110168,32.8,372.19
ASIANPAINT,EQ,2352.5,0.13,225651.28,11.63,271.86
MARICO,EQ,680.85,3.01,88203.95,40.42,271.63
RAINBOW,EQ,1405,2.28,14268.01,19.07,269.6
LIQUIDCASE,EQ,107.92,0.05,4111.72,246.41,265.92
FEDERALBNK,EQ,195.53,0.72,48037.94,101.71,198.42
CHOLAFIN,EQ,1451.3,0.4,122045.75,13.03,188.98
APOLLOHOSP,EQ,6735,0.95,96838.97,2.8,186.65
TORNTPHARM,EQ,3309.65,1.91,112013.6,5.14,166.5
RBLBANK,EQ,176.33,0.54,10718.68,90.63,158.57
LIQUIDADD,EQ,1066.07,0.05,2779.87,14.42,153.69
NESTLEIND,EQ,2258.55,0.57,217759.72,5.92,133.63
PIDILITIND,EQ,2903,1.45,147660.73,4.46,128.35
MFSL,EQ,1162.9,1.32,40133.4,9.05,105.05
NH,EQ,1678,0.87,34291.74,6.17,102.95
EMAMILTD,EQ,594.5,3.25,25949.92,16.35,96.41
MANKIND,EQ,2445,0.71,100875.45,3.93,95.64
PARADEEP,EQ,118.2,0.05,9635.78,80.28,94.37
WEBELSOLAR,EQ,1268,1.39,5351.76,7.03,91.05
KARURVYSYA,EQ,216.9,0.89,17458.17,41.44,89.65
GAEL,EQ,115,3.9,5274.71,77.54,89.1
RAMCOCEM,EQ,942.8,0.15,22277.65,9,85.04
COLPAL,EQ,2428,0.75,66038.11,3.49,84.64
BERGEPAINT,EQ,514.65,0.66,60002.77,15.89,81.44
BANKBEES,EQ,529.42,0.11,7411.84,15.35,81.32
TARC,EQ,148.99,4.54,4396.64,51.56,76.28
KITEX,EQ,199.2,5,3974.04,36.48,72.33
UJJIVANSFB,EQ,36.86,1.65,7132.42,198.35,72.3
UNITDSPR,EQ,1432,0.13,104156.64,5,71.51
NACLIND,EQ,136.83,5,2728.93,48.49,65.64
LIQUID1,EQ,1043.83,0.05,1310.47,5.42,56.56
TFCILTD,EQ,178.29,0.69,1650.88,29.21,51.86
JSWHL,EQ,26280,1.97,29169.81,0.17,44.33
GENSOL,BE,163,3.05,619.44,25.33,40.49
VAKRANGEE,EQ,11.35,4.32,1229.42,327.53,37.08
EMBASSY,RR,378,1.05,35830.38,9.16,34.37
SUNDARMFIN,EQ,4561.5,1.22,50680.03,0.75,34.29
VIPCLOTHNG,EQ,33.7,8.05,303.74,95.44,34.04
CEWATER,EQ,545,1.15,1127.94,5.87,32.64
BALPHARMA,EQ,120.36,11.09,191.62,25.94,31.55
PGHH,EQ,14000,2.9,45445.03,0.22,31.11
SPMLINFRA,EQ,184.59,5,1311.52,15.88,29.2
LOWVOLIETF,EQ,20.7,1.62,3434.39,140.54,28.19
UBL,EQ,1989,0.3,52590.18,1.37,27.24
SIYSIL,EQ,747.9,0.99,3393.23,3.55,26.69
LALPATHLAB,EQ,2515,0.01,21023.32,1.02,25.48
PANACEABIO,EQ,467,0.41,2860.41,5.43,24.98
LTGILTBEES,EQ,28.29,0.21,2453.5,82.04,23.2
NIBE,EQ,1257.8,5,1798.22,1.58,19.83
SANATHAN,EQ,387,0.48,3266.44,5.04,19.52
LIQUIDBETF,EQ,1024.37,0.05,371.21,1.85,18.92
STARCEMENT,EQ,217.07,0.83,8952.6,7.25,15.75
ZFCVINDIA,EQ,13160.1,0.16,24961.53,0.12,15.58
SBFC,EQ,92.95,0.1,10094.36,16.59,15.41
SIGACHI,EQ,39.18,1.98,1306.45,38.74,15.06
GALLANTT,EQ,435,1.32,10495.72,3.23,13.94
INDIGRID,IV,143,0.14,11934.18,8.89,12.68
AFIL,EQ,81.2,2.53,346.52,15.1,12.41
LIQUIDPLUS,EQ,1026.09,0.05,269.4,1.18,12.12
NAZARA,EQ,957,0.17,8384.88,1.27,12.04
VERANDA,EQ,217.86,3.94,1594.68,5.27,11.51
ARTEMISMED,EQ,284.3,1.99,3912.03,3.97,11.45
HCG,EQ,533.95,0.07,7444.08,2.02,10.71
