Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
ITC,EQ,420.35,-0.28,526031.03,116.86,492.38
MAXHEALTH,EQ,1072.4,-1.55,104252.51,40.25,432.82
ABDL,EQ,310,-2.84,8671.01,67.12,205.24
PIIND,EQ,3597,-0.29,54573.01,5.42,194.64
GODREJCP,EQ,1218,-0.46,124602.37,15.63,189.78
GOLDBEES,EQ,77.76,-0.18,20342.49,227.09,176.67
ATUL,EQ,5619.5,-1.89,16544.79,3.09,176.24
HINDPETRO,EQ,379.8,-0.63,80814.7,45.72,173.57
GLENMARK,EQ,1373.1,-0.36,38747.26,11.73,161.72
PNBHOUSING,EQ,968.9,-1.07,25184.14,11.1,108.55
ASTERDM,EQ,491.5,-1.76,24551.07,12.25,60.64
GENSOL,BE,129,-2.76,490.23,45.35,57.93
SETFGOLD,EQ,79.92,-0.31,7626.91,61.53,49.24
AAVAS,EQ,2003.3,-1.23,15856.85,2.45,48.98
TANLA,EQ,481.15,-0.57,6477.11,9.41,45.99
BERGEPAINT,EQ,527.85,-0.5,61541.76,8.52,44.66
JUBLPHARMA,EQ,918,-0.03,14622.01,4.48,41
SUMICHEM,EQ,556,-1.64,27752.5,6.98,38.83
INTERARCH,EQ,1681.9,-1.79,2798.75,1.9,32.59
GOLDIETF,EQ,80.11,-0.21,7233.14,39.4,31.65
EMAMILTD,EQ,605,-0.58,26408.25,5.08,30.65
CAMPUS,EQ,234,-1.81,7146.32,10.26,24.21
LTGILTBEES,EQ,28.4,-0.07,2524.81,82.62,23.47
VADILALIND,EQ,5716.5,-1.13,4108.92,0.38,22.07
WHIRLPOOL,EQ,1105.1,-0.13,14020.61,1.94,21.44
SFL,EQ,650,-1.15,7065.89,2.74,17.93
GODREJIND,EQ,1130,-0.59,38052.99,1.56,17.77
HIKAL,EQ,413.55,-1.27,5099.1,4.11,17.18
GOLDETFADD,EQ,91.12,-0.37,790.76,17.47,15.9
SANOFI,EQ,6175,-0.4,14221.41,0.25,15.58
MANYAVAR,EQ,791.7,-1.34,19232.39,1.95,15.49
GRMOVER,EQ,312,-4.19,1872,4.88,15.42
BATAINDIA,EQ,1228.1,-1.11,15784.47,1.24,15.31
ANANDRATHI,EQ,1774.7,-1.43,14733.67,0.83,14.88
CLEAN,EQ,1169,-1.02,12422.64,1.27,14.85
TFCILTD,EQ,174.8,-0.53,1618.57,7.62,13.48
PRUDENT,EQ,2214.9,-2,9171.17,0.58,12.91
AGIIL,EQ,793.8,-1.3,1939.53,1.55,12.37
HONASA,EQ,229.4,-1.1,7459.71,5.32,12.25
AGARWALEYE,EQ,410,-1.25,12951.07,2.96,12.21
BAYERCROP,EQ,4799,-0.58,24046.47,0.25,12.14
THANGAMAYL,EQ,2044,-0.24,6353.17,0.56,11.64
NXST,RR,127.21,-0.8,19272.31,9.07,11.58
ERIS,EQ,1376.6,-0.59,18744.14,0.81,11.16
NAZARA,EQ,960.55,-0.05,8415.98,1.15,11.09
APLLTD,EQ,844.05,-0.28,16590.91,1.25,10.6
DHANUKA,EQ,1297,-1.96,5846.66,0.8,10.45
SKFINDIA,EQ,3860.1,-0.05,19083.55,0.26,9.96
RELAXO,EQ,415,-0.63,10330.95,2.22,9.25
ICIL,EQ,278.85,-0.46,5522.75,3.27,9.11
AIAENG,EQ,3165,-0.12,29535.9,0.29,9.09
DODLA,EQ,1155,-2.6,6967.86,0.76,8.91
GOLDCASE,EQ,14.72,-0.67,262.45,58.35,8.61
ZYDUSWELL,EQ,1738.4,-0.55,11061.81,0.42,7.42
SETF10GILT,EQ,253.49,-0.08,3205.35,2.75,6.95
HONAUT,EQ,34000,-0.04,30061.18,0.02,6.84
KALAMANDIR,EQ,130,-1.05,1993.76,4.55,6.04
GTLINFRA,EQ,1.48,-0.67,1895.75,391.26,5.79
JLHL,EQ,1443,-0.52,9461.18,0.4,5.77
TARC,EQ,146.31,-1.42,4317.55,3.85,5.68
GOLD1,EQ,78.12,-0.36,6495.65,6.7,5.24
APOLLOPIPE,EQ,391.4,-0.18,1724.05,1.33,5.21
BIRET,RR,286.47,-0.55,17410.28,1.81,5.19
AKZOINDIA,EQ,3482,-0.81,15857.14,0.14,5.06
HINDWAREAP,EQ,196,-0.76,1639.47,2.41,4.8
IVZINGOLD,EQ,8152,-0.75,269.15,0.06,4.54
SGBJAN29IX,GB,8729,-0.8,2505.12,0.05,4.33
TEMBO,BE,473.6,-4.99,525.87,0.82,3.94
UMAEXPORTS,EQ,86.1,-5.46,291.1,4.45,3.89
MAXESTATES,EQ,402,-0.19,6472.2,0.95,3.83
GMMPFAUDLR,EQ,1051.1,-1.08,4725.45,0.36,3.83
SIS,EQ,331.65,-0.94,4787.95,1.12,3.71
GALAXYSURF,EQ,2175,-0.65,7711.41,0.16,3.45
GILT5YBEES,EQ,61.14,-0.24,203.93,5.27,3.22
ARTEMISMED,EQ,280.3,-0.3,3856.99,1.11,3.17
SGBDE31III,GB,8909,-0.09,10785.95,0.03,2.96
AXITA,EQ,10.02,-0.6,348.53,29.05,2.91
SGBMAR30X,GB,8747,-0.47,1346.77,0.03,2.91
EBBETF0430,EQ,1492.13,-0.05,18923.17,0.19,2.89
WESTLIFE,EQ,708.1,-0.05,11021.14,0.4,2.83
MEDICO,EQ,58.64,-0.19,486.62,4.3,2.55
RAPIDFLEET,ST,199.95,-0.12,148.66,1.16,2.33
AXISGOLD,EQ,78.25,-0.25,1618.96,2.97,2.33
SGBN28VIII,GB,8750,-0.36,1376.77,0.03,2.25
NITCO,EQ,111.03,-0.52,2539.5,1.79,2.01
NXT-INFRA,IV,100.2,-8.91,2855.7,2,2
MMP,EQ,258.1,-2.59,655.64,0.78,2
DENTALKART,SM,650,-2.51,1080.41,0.3,1.99
HEUBACHIND,EQ,587.9,-0.07,1356.98,0.33,1.97
VSTTILLERS,EQ,3700,-0.16,3198.04,0.05,1.95
SGBMAY29I,GB,8739,-0.46,4648.25,0.02,1.93
VINYAS,SM,780,-1.27,981.61,0.25,1.92
BAHETI,SM,520.75,-4,539.94,0.36,1.91
EGOLD,EQ,94.2,-0.16,166.24,2.01,1.88
BUTTERFLY,EQ,598,-0.25,1069.2,0.27,1.61
ESABINDIA,EQ,4675.1,-0.02,7196.39,0.03,1.58
KESORAMIND,BE,3.5,-4.37,108.73,43.22,1.51
SGBSEP29VI,GB,8750,-1.22,3080.3,0.02,1.49
GPECO,ST,292,-2.67,341.96,0.49,1.47
VALIANTORG,EQ,353.1,-1.04,974.52,0.38,1.37
RHFL,EQ,3.37,-0.59,163.46,40.25,1.36
ASTEC,EQ,702.2,-0.41,1377.11,0.19,1.36
LYKALABS,EQ,103.6,-0.4,369.75,1.24,1.29
THEJO,EQ,1818,-0.02,1971.79,0.07,1.26
CHEMFAB,EQ,814.5,-2.51,1169.92,0.14,1.17
SGBJUN29II,GB,8744,-0.3,1660.03,0.01,1.16
SEAMECLTD,EQ,1020,-0.33,2593.35,0.11,1.14
RACLGEAR,EQ,806.8,-2.21,869.86,0.13,1.12
CHANDAN,SM,210.5,-0.17,514.72,0.54,1.12
QMSMEDI,SM,100.2,-7.22,178.86,1.04,1.11
QGOLDHALF,EQ,77.5,-0.13,308.14,1.32,1.02
LAWSIKHO,ST,161.6,-1.01,257.1,0.57,0.91
JPASSOCIAT,BE,3.7,-5.13,908.2,23.23,0.86
SGBJUL28IV,GB,8770,-0.28,3622.73,0.01,0.83
SHREEKARNI,ST,552.05,-2,390.41,0.14,0.79
SGBJUL29IV,GB,8760,-0.04,2561.22,0.01,0.77
KOTYARK,ST,343.35,-2,352.93,0.22,0.75
FUSI-RE,BE,8.35,-12.11,50.96,8.23,0.71
GUJAPOLLO,EQ,360.2,-1.4,425.04,0.19,0.68
BSLGOLDETF,EQ,82.57,-0.8,1167.4,0.8,0.67
MOS,SM,248.6,-3.17,619.9,0.25,0.63
WINSOL,SM,190,-0.21,219.17,0.32,0.61
DPEL,SM,145,-1.79,311.27,0.41,0.6
NAMOEWASTE,SM,160.2,-2.97,366.34,0.35,0.58
SGBNV29VII,GB,8755,-0.17,2843.83,0.01,0.58
APCOTEXIND,EQ,328,-1.1,1700.51,0.17,0.56
KBCGLOBAL,BE,0.49,-2,256.21,113.54,0.56
GLOBALVECT,EQ,238.1,-0.97,333.34,0.23,0.56
TRANSTEEL,SM,98,-3.73,197.75,0.54,0.54
737GS2028,GS,105.95,-0.05,79462.5,0.5,0.53
KAMOPAINTS,BE,9.75,-2.01,306.5,5.36,0.52
SMLT,EQ,121,-0.72,165.65,0.4,0.49
GSS,EQ,36.7,-1.71,96,1.28,0.48
SGBMR29XII,GB,8750,-0.13,2827.04,0.01,0.47
PIGL,BE,142.49,-2,226.32,0.32,0.46
SGBJU29III,GB,8733,-0.58,1291.81,0,0.44
AVROIND,EQ,133.75,-5.22,178.04,0.31,0.43
PELATRO,SM,335.5,-3.31,349.14,0.13,0.42
SGBJAN29X,GB,8740,-0.58,1061.08,0,0.41
SPECIALITY,EQ,142.2,-0.62,685.91,0.28,0.41
GICL,SM,99.65,-0.15,248.32,0.41,0.4
PRAENG,EQ,21.2,-0.05,148.26,1.88,0.4
BALAXI,EQ,67,-1.12,369.89,0.58,0.39
INDTERRAIN,EQ,33.99,-3.41,155.4,1.11,0.39
STARTECK,EQ,300.3,-5.83,297.61,0.12,0.39
SGBSEP28VI,GB,8721,-1.23,2782.11,0,0.38
