Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
LIQUIDBEES,EQ,1000.01,0,12209.83,24.39,243.88
LIQUIDIETF,EQ,1000,0,2323.09,5.4,53.97
LIQUIDETF,EQ,1000,0,589.82,1.14,11.36
LIQUID,EQ,999.99,0,633.59,0.71,7.05
APS,SM,376.05,0,742.32,0.77,2.92
LIQUIDSBI,EQ,999.99,0,32.05,0.18,1.76
HTMEDIA,EQ,15.94,0,371,3.84,0.61
GLOBE,BE,2.79,0,125.67,8.77,0.24
ZEELEARN,EQ,6.2,0,202.78,3.49,0.22
AJOONI,EQ,6.13,0,105.59,3.44,0.21
ABSLLIQUID,EQ,1000.01,0,56.96,0.02,0.19
AVIANSH,SM,101,0,141.17,0.18,0.18
RBS,SM,117,0,267.48,0.14,0.17
840CIFCL28,N4,1070,0,471.11,0.02,0.16
96IIFL28,N5,951.8,0,364.37,0.02,0.16
PRAKASHSTL,EQ,6.7,0,117.25,1.62,0.11
RAJPUTANA,SM,215,0,151.22,0.05,0.11
ARHAM,SM,82,0,138.74,0.09,0.07
ONYX,SM,50.25,0,91.11,0.14,0.07
ISHAN,SM,1.05,0,22.7,6.72,0.07
WOL3D,SM,140,0,90.33,0.05,0.07
82IGT31,NJ,1081.51,0,648.02,0.01,0.06
182D140825,TB,97.72,0,7992.4,0.05,0.05
SEL,ST,282.6,0,65.53,0.02,0.05
RVTH,BE,900,0,276.02,0,0.04
903SFL28,YI,1028,0,51.32,0,0.04
PULZ,SM,46,0,100.32,0.08,0.04
SILKFLEX,SM,75.7,0,87.86,0.04,0.03
SIMBHALS,BE,13.5,0,55.73,0.22,0.03
ANLON,SM,324,0,202.67,0.01,0.03
KARNIKA,ST,630,0,781.17,0,0.03
BAFNAPH,BE,72.5,0,171.51,0.03,0.02
VHLTD,BE,113.11,0,1214.44,0.02,0.02
753IRFC30,NJ,1120,0,1203.12,0,0.02
764HUDCO31,N8,1105,0,0,0,0.02
PRANIK,SM,62,0,68.26,0.03,0.02
862REC33,NA,1240,0,51.62,0,0.02
ROLLT,BE,1.45,0,36.27,1.23,0.02
CELLPOINT,SM,17.95,0,33.54,0.1,0.02
SOTAC,SM,118.7,0,131.16,0.01,0.01
PASHUPATI,SM,658,0,1038.59,0,0.01
TEJASCARGO,SM,163,0,389.45,0.01,0.01
87LTF27,NH,1015,0,17.75,0,0.01
HEADSUP,BE,10.93,0,24.14,0.11,0.01
970CAGL28,ND,1005.05,0,254.51,0,0.01
ASLIND,SM,52,0,54.17,0.02,0.01
835SCL23B,YM,960,0,15.46,0,0.01
MONOPHARMA,SM,24,0,42.4,0.04,0.01
EXCELLENT,SM,49.1,0,21.95,0.02,0.01
182D040925,TB,97.32,0,13332.84,0.01,0.01
GLOBALE,BE,17.99,0,19.11,0.04,0.01
SECL,ST,9.1,0,93.68,0.06,0.01
935LTF29,N5,1064,0,118.01,0,0.01
MAL,SM,30.2,0,74.55,0.02,0
YCCL,SM,14.35,0,27.7,0.03,0
SANCO,BZ,2.32,0,3.04,0.19,0
79NHIT47,N3,412,0,618,0,0
SCL25B,BI,1126.8,0,5.54,0,0
DLSL25A,Y4,1326.27,0,5.34,0,0
736PFCL28,N2,1057.16,0,0,0,0
948SCL26A,NN,670,0,12.86,0,0
1003ISFL28,N4,978,0,78.62,0,0
1049DLS25A,Y5,999.9,0,15.48,0,0
CMMIPL,SZ,1.9,0,2.98,0.06,0
925AEL26,N1,1039.8,0,37.86,0,0
885MOFSL26,N0,1050.2,0,50.39,0,0
679GS2031,GS,102.3,0,30690,0,0
762KL38,SG,100,0,2000,0,0
697GR2034,GS,100,0,1697.4,0,0
888IHFL25F,NC,999,0,173.25,0,0
990SCL26B,Y7,990,0,17.52,0,0
182D180925,TB,96.8,0,12729.2,0,0
965SCL27,N1,950,0,8.55,0,0
SCL271224A,N1,1000,0,2.56,0,0
10IIFL29,N6,992,0,30.77,0,0
764IRFC31,NO,1135.95,0,1356.68,0,0
1025SCL34Z,N1,990,0,10.86,0,0
1040NFL26,NA,983.01,0,93.52,0,0
AARTISURF,P1,194,0,21,0,0
